Deutsch,English
das ei,the egg
die eier,the eggs
das Glas,the glass
die Gläser,the glasses
die Gabel,the fork
das Messer,the knife
der Löffel,the spoon
die Katze,the cat
die Katzen,the cats
der Hund,the dog
die Hunde,the dogs
das Kind,the child
die Kinder,the children
der Mann,the man
die Männer,the men
der Frau,the woman
die Frauen,the women
das Buch,the book
die Bücher,the books
die Menschen,the people
das Jahr,the year
die Jahre,the years
der	Bohnen,the bean
die bohnen,the beans
der Kühlschrank,the refrigerator
das Holz,the wood
der Vogel,the bird
die Vögel,the birds
der Bus,the bus
die Busse,the busses
das leben,the Life
die Welt,world
die welten,the worlds
die Stadt,the city
die Städte,the cities
das Wasser,the water
die Tage,the days
der Tag,the Day
der Apfel,the apple
die Äpfel,the apples
die Banane,the bannana
die Bananen,the bannanas
der zug,the train
die Züge,the trains
das wort,the word
die Wörter,the words
die Woche,the week
die Wochen,the weeks
der Kaffee,the coffee
der Baum,the tree
die Bäume,the trees
die Schule,the school
die Schulen,the schools
der Name,the name
die Namen,the names
die Stunde,the hour
die Stunden,the hours
das Land,the country
die Länder,the countries
die Gruppe,the group
die Gruppen,the groups
der Turm,the tower
die Türme,the towers
die Kirche,the church
die Kirchen,the churches
die straßenbahn,the tram
die haltestelle,the bus stop
der bahnhof,the train station
die Bahnhöfe,the train stations
der Preis,the price
die Preise,the prices
der Film,the Movie
die Filme,the movies
die Daten,the Data
das Wochenende,the weekend
die Wochenenden,the weekends
die Wohnung,the appartment
die Wohnungen,the appartments
die Tasse,the cup
das Regal,the shelf
das Bild,the image
die Bilder,the images
die Farbe,the colour
die Farben,the colours
der Mantel,the coat
der Schlüssel,the key
die Schlüssel,the keys
der Schuh,the shoe
die Schuhe,the shoes
das Hemd,the shirt
die Hemden,the shirts
der Himmel,the sky
die Wolke,the cloud
die Wolken,the clouds
der koffer,the suitcase
die kontrolle,the control
das fenster,the window
die Fenster,the windows
der Buchstabe,the letter
die Buchstaben,the letters
das treffen,the meeting
die Treffen,the meetings
die Stimme,the voice
die Stimmen,the voices
die Minuten,the minutes
die Minute,the minute
die Frage,the question
die Fragen,the questions
die Millionen,the millions
die Million,the million
die Gitarre,the guitar
die Gitarren,the guitars
das Papier,the paper
die Papiere,the papers
das Eichhörnchen,the squirrel
die Eichhörnchen,the squirrels
das Mädchen,the girl
die Mädchen,the girls
das Thema,the theme
das spiel,the game
die spiel,the games
die Familie,the family
die Familien,the families
der saft,the juice
die Säfte,the juices
Der Wald,the forest
die Wälder,the forests
der Gast,the guest
die Gäste,the guests
die Geschichte,the history
der Blumentopf,the plant pot
das Telefon,the telephone
die uhr,the clock
die Schlacht,the battle
der Rahmen,the frame
die Seite,the page
die Seiten,the pages
der Brief,the mail
die Briefe,the mails
der Wind,the wind
das Programm,the program
die Programme,the programs
das Internet,the internet
die Größe,the size
die Größen,the sizes
der Platz,the place
die plätzen,the places
das prozent,the percent
das Beispiel,the example
die Beispiele,the examples
die nudeln,the noodles
die Hand,the hand
das licht,the light
die Lichter,the lights
der anfang,the Beginning
die Anfänge,the beginnings
der Schnaps,the liquor
die Position,the position
die Positionen,the positions
das Ende,The end
das Zimmer,the room
die Zeitung,the newspaper
das Schiff,the ship
die Schiffe,the ships
der Teppich,the carpet
der Roman,the novel
die Romane,the novels
der Traum,the dream
die Träume,the dreams
das Blatt,the leaf
die Blätter,the leaves
der Weg,the path
die unternehmen,companies
das Teil,the part
die Teile,the parts
die geschichte,the history
die Form,the shape
die Formen,the shapes
der Kunde,the customer
die Sonne,the sun
der Mond,the moon
der Keks,the biscuit
die Kekse,the biscuits
der Tisch,the table
die Tische,the tables
die Informationen,the information
die Leute,the People
die Personen,the people
Die Person,the person
die Liebe,the love
die Couch,the couch
das Geld,the money
das wissen,the knowledge
der See,the lake
die Seen,the lakes
die	Zukunft,the Future
die Sekunde,the second
die Sekunden,the seconds
der Stern,the star
die Sterne,the stars
das Problem,the problem
die Probleme,the problems
die Meinung,the opinion
Die Meinungen,the opinions
der Kopf,the head
der Kopf,the heads
das Bein,the leg
die Beine,the legs
der Hauptstadt,the capital
die Hand,the hand
die Hände,the hands
der Fuß,the foot
die Füße,the feet
der Arm,the arm
die Arme,the arms
das Gesicht,the face
die Gesichter,the faces
die Zunge,the tongue
die Zungen,the tongues
die Schulter,the shoulder
die Schultern,the shoulders
der Finger,the finger
die Finger,the fingers
der Nachtisch,the desert
die Nase,the nose
der Zahn,the tooth
die Zähne,the teeth
das Ohr,the ear
die Ohren,the ears
der Mund,the mouth
die Münder,the mouths
die Brust,the chest
die Brüste,the chests
das auge,the eye
die Augen,the eyes
das Haar,the hair
die Haare,the hairs
der Bart,the beard
der Bärte,the beards
der Hals,the neck
die Hälse,the necks
der Bauch,the abdomen / belly
die Bäuche,the abdomens
der Bauchnabel,the bellybutton
die Bauchnabel,the bellybuttons
die Scheide,the vagina
die Scheiden,the vaginas
das Glied,the penis
die Glieder,the penises
der Hoden,the testicle
die Hoden,the testicles
der After,the anus
die After,the anuses
der Rücken,the back
die Rücken,the backs
die Hüfte,the hip
die Hüften,the hips
die Achsel,the armpit
die Achseln,the armpits
der Nagel,the nail
die Nägel,the nails
der Ellbogen,the elbow
die Ellbogen,the elbows
das Knie,the knee
die Knie,the knees
der Zeh,the toe
die Zehen,the toes
das Blut,the blood
das Gehirn,the brain
die Haut,the skin
die Häute,the skins
das Herz,the heart
die Herzen,the hearts
der Magen,the stomach
die Mägen,the stomachs
der Muskel,the muscle
die Muskeln,the muscles
das Skelett,the skeleton
die Skelette,the skeletons
die	Stäbchen,the chopsticks
das Gehirn,the brain
die Nasen,the noses
die Gemeinde,the community
die Bedingung,the condition
der Bauer,the farmer
die Bauern,the farmer
die Nahrung,the food
die Lieferung,the delivery
die Preisgestaltung,the pricing
die Implementierung,the implementation
der anreiz,the incentive
die Attraktion,the attraction
die Anziehung,the attraction
der Zusammenbruch,the collapse
der Kollaps,the collapse
das Gehalt,the salary
die Kiste,the box
die Kultur,the culture
die Kulturen,the cultures
der Blick,the view
die Blicke,the views
die Eltern,the parents
die Stelle,the Job
das Ziel,the target
das Bereich,the Area
die Mannschaft,the team
die Gesellschaft,the society
der Arbeitnehmer,the Employee
der Gott,the God
die Götter,the gods
der Dreck,the dirt
die reife,the maturity
der zufall,the coincidence
die zufälle,the coincidences
die stille,the silence
das schweigen,the silence
die Richtung,the direction
die Richtungen,the directions
die Vergangenheit,the past
die Gegenwart,the present
der Stuhl,the chair
Die Stühle,the chairs
das Handtuch,the towell
der Flughafen,the airport
der ausgang,the exit
das Handgepäck,the luggages
die schlange,the queue
der durchleuchten,xray
die treppe,the stairs
der abfluge,the departure
die abflüge,the departures
der Ankunft,the arrival
die Ankünfte,the arrivals
das flugzeug,the airplane
die flugzeuge,the airplanes
der laden,the shop
die läden,the shops
die Abwehr,the defence
die menge,the quantity
die bestandteilen,the components
die köder,the bait
die krähe,the crow
die lage,the position
die tüte,the bag
die tüten,the bags
die grenze,the limit
die grenzen,the limits
die waffe,the weapon
die waffen,the weapons
die öffentliche verkehrsmittel,the public transport
das gleis,the platform
die gleise,the platforms
die bedienung,the waiter
die vorspeise,the starter
das hauptgericht,the main course
die nachspeise,the dessert
der nachtisch,the dessert
die rechnung,the bill
das bargeld,the cash
das trinkgeld,the tip
die beziehung,the relationship
die verantwortungen,the responsabilities
der einfluss,the influence
die befriedigung,the satisfaction
die reife,the maturity
die schwache,the weakness
der belang,the concern
der rang,the rank
der verräter,the traitor
die falte,the wrinkle
die falten,the wrinkles
die fremde,the strangers
die verfügung,the disposal
die anweisungen,the instructions
der schritt,the step
die schritte,the steps
die erreichung,the achievement
der ursprung,the origin
die unterstützung,the support
die unabhängigkeit,the independence
die segen,the blessing
der ratschlag,the advice
die ratschläge,the advices
die angelegenheiten,the matters
die aufteilung,the division
die gegenseitigkeit,the reciprocity
die freisetzung,the release
die wand,the wall
die wände,the walls
die Abmachung,the agreement
die Unsterblichkeit,the immortality
der Zweck,the purpose
die Fäden,the strings
der Befehl,the command
das überbleibsel,the remaining
die Rache,the vengance
der Ermittler,the investigator
die Anstiftung,the incitement
die Gegenwart,the present
die Gerüchte,the rumours
der Gefallen,the favor
der Ganove,the thief
die Beerdigung,the burial
der Bezug,the relation
die Aufzeichnungen,the recods
die Sträflinge,the convict
das Gewahrsam,the custody
die Hungersnot,the hunger
der Dieb,the thief
das Ehepaar,married couple
der Geruch,the smell
die Fähigkeit,the capability
die Schmach,the shame
die Gestalt,the form
die Leiche,the corpse
der Stu­di­en­gang,degree program
die Studiengänge,degree programs
die Wirtschaft,economy
der Flüchtling,refugee
das Zeugnis,certificat
die Verfassung,constitution
Der Schlamm,the mud
das Gewehr,the gun
