Deutsch,English
frisch,fresh
nur,only
leer,empty
gelegentlich,occasionally
voll,full
nie,never
bald,soon
dünn,thin
komisch,strange
meistens,mostly
immer,always
fast,almost
jetzt,now
links,left
rechts,right
krank,sick
hungrig,hungry
glücklich,happy
traurig,sad
teuer,expensive
schlecht,bad
klar,clear
laut,loud
weniger,less
später,later
hübsch,pretty
klein,small
wichtig,important
oft,often
lang,Long
wenig,little
groß,huge
schnell,fast
billig,cheap
süß,cute
neu,new
breit,wide
heiß,hot
kalt,cold
sehr,very
gut,good
viel,much
einige,some
schön,beautiful
täglich,daily
wöchentlich,weekly
monatlich,monthly
jährlich,annually
manchmal,sometimes
besorgt,worried
zufrieden,satisfied
ruhig,calm
sicher,sure
hoch,high
schwindlig,dizzy
entfernt,distant
weiter,more
enttäuscht,disappointed
ängstlich,anxious
entspannt,relaxed
neugierig,curious
fest,firmly
endlich,Finally
somit,consequently
außerdem,besides that
leider,unfortunately
besonders,especially
abschließend,finally
etwa,approximately
stark,strongly
eigentlich,actually
ungefähr,approximately
direkt,directly
genau,exactly
vorsichtig,carefull
damals,then
früher,earlier
sofort,immediately
häufig,frequently
anders,different
hässlich,ugly
wirklich,really
schlimm,bad
begeistert,excited
kurz,short
köstlich,delicious
nützlich,useful
ekelhaft,disgusting
gefährlich,dangerous
verantwortlich,responsible
unverantwortlich,irresponsible
anständige,decent
recht,quite
art,kind
gleich,equal
deutlich,clear
eigen,own
umsonst,free
gemein,mean
dringend,urgent
kurzfristig,short term
kaum,barely
besten,best
fern,far
weit,far
schwer,heavy
vorn,in front
hinten,behind
oben,up
gelangweilt,bored
aufgeregt,exited
unten,down
innen,inside
außen,outside
hier,here
da,there
dort,there
überall,everywhere
nirgends,nowhere
selten,rarely
deshalb,therefore
darum,therefore
daher,therefore
deswegen,therefore
mächtig,powerful
weder,neither
bezeichnet,designated
mangel,lack
schlussendlich,finally
kaum,barely
folglich,thus/consequently
ebenfalls,as well
ansonsten,otherwise
außerdem,in addition
wenigstens,at least
aufmerksam,alert
stolz,proud
hilfsbereit,helpful
einander,each other
vermutlich,probably
niemand,nobody
ungeduldig,impatient
geduldig,pacient
unbedingt,necessarily
anfälliger,vulnerable
übel,bad
flink,agile
nass,wet
verdächtig,suspicious
lästig,annoying
besitzergreifend,possessive
klebrig,sticky
unklug,unwise
einzig,sole
verlockend,tempting
entmutigend,discouraging
ehrlich,honest
geradlinig,direct
leichtsinnig,careless
vorwärts,forward
gewöhnlich,usually
unbekannt,unknown
beeindruckt,impressed
vernünftig,reasonable
inzwischen,meanwhile
betrüger,cheater
riesig,gigantic
böse,mean
besessen,obsessed
gut galaunt,good mood
feige,coward
vorher,before
ehemalig,previous
angemessen,appropriately
gewaltlos,nonviolent
ledig,single
ungehobelt,rough
schleunigst,quickly
erstaunlich,astonishing
entzückend,charming
bezüglich,related
reiner,pure
wahrhaft,trully
merkwürdig,inusual
kostenpflichtig,chargable
unvermeidbar,unavoidable
schüchtern,shy
selbstbewusst,confident
gestresst,stressed
zuverlässig,reliable
schmal,narrow
weich,soft
eingeschränkt,restricted
falls,in case
unauffindbar,untrackable
einzigartig,unique
reif,mature
prächtig,gorgeous
offensichtlich,obvious
beschiss,crap
gewaltigen,tremendous
Überfordert,overcharged
begeistert,enthused
niedrig,low
erbärmlich,pathetic
eifersüchtig,jelous
lebendig,lively
glänzend,shiny
zäh,tough
erbärmlich,pathetic
nachsichtig,indulgent
besessen,obsessed
bescheiden,modest
